행정동코드_최종,0순위_비분동확정,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,행정동명,자치구,교통비_커버리지
1138063200,0,260,409,0,669,409,0.6114,신사제2동,은평구,0.9539589462515268
1156063000,0,561,811,67,1439,878,0.6101,신길제1동,영등포구,0.9460310860122576
1147065000,0,1103,1697,0,2800,1697,0.6061,신정4동,양천구,0.917289001482632
1165051000,0,425,636,18,1079,654,0.6061,서초1동,서초구,0.8692633203947437
1168066000,0,17,17,9,43,26,0.6047,개포1동,강남구,0.915909828427583
1130553500,0,708,1078,0,1786,1078,0.6036,미아동,강북구,0.9319586533302244
1135056000,0,524,787,10,1321,797,0.6033,월계1동,노원구,0.9076770452876048
1147059000,0,127,193,0,320,193,0.6031,신월4동,양천구,0.9706609528379953
1150053000,0,398,602,0,1000,602,0.602,등촌제2동,강서구,0.947419166803825
1138052000,0,428,633,11,1072,644,0.6007,불광제1동,은평구,0.9333517837916556
1114065000,0,294,439,0,733,439,0.5989,신당제5동,중구,0.9525946278463172
1174058000,0,332,490,0,822,490,0.5961,암사제2동,강동구,0.935988983936082
1123075000,0,259,382,0,641,382,0.5959,이문제2동,동대문구,0.9446840939634842
1165059000,0,322,469,0,791,469,0.5929,방배본동,서초구,0.9155749825872944
1123061000,0,319,461,0,780,461,0.591,답십리제2동,동대문구,0.9307903673960162
1114063500,0,165,238,0,403,238,0.5906,약수동,중구,0.9476459362385002
1138060000,0,728,1049,0,1777,1049,0.5903,응암제3동,은평구,0.9333445812861684
1135061100,0,147,207,4,358,211,0.5894,하계1동,노원구,0.9200847508295856
1171064200,0,2015,2865,0,4880,2865,0.5871,문정2동,송파구,0.7741835099855967
1174053000,0,177,244,5,426,249,0.5845,명일제1동,강동구,0.9072662967160678
1153055000,0,632,888,0,1520,888,0.5842,구로제4동,구로구,0.9295843610743544
1150061500,0,543,705,57,1305,762,0.5839,우장산동,강서구,0.942166848276508
1150064000,42,565,846,0,1453,846,0.5822,방화제2동,강서구,0.9069305610238696
1150057000,0,517,720,0,1237,720,0.5821,화곡제4동,강서구,0.9519430007327522
1147053000,0,581,806,0,1387,806,0.5811,목3동,양천구,0.9588768841867232
1168063000,0,933,1286,0,2219,1286,0.5795,대치4동,강남구,0.8368122156484598
1123072000,0,1047,1384,53,2484,1437,0.5785,휘경제1동,동대문구,0.951693748696379
1171052000,0,491,670,0,1161,670,0.5771,풍납2동,송파구,0.7150397934053901
1174064000,0,494,639,29,1162,668,0.5749,성내제1동,강동구,0.8676480844590323
1150059300,0,658,889,0,1547,889,0.5747,화곡제8동,강서구,0.9499628570970792
1114061500,328,63,508,16,915,524,0.5727,신당동,중구,0.878790214859515
1174061000,0,1346,1801,0,3147,1801,0.5723,천호제2동,강동구,0.902615746606938
1130557500,0,6,8,0,14,8,0.5714,삼각산동,강북구,0.9284617750674335
