dong_code,dong_name,gu,status,reason,road_acc,road_n,fare_coverage,tx_count
11500620,공항동,,ok,,,,0.865154839225996,1996.0
11500630,방화제1동,,ok,,,,0.906934676159804,1469.0
11500640,방화제2동,,ok,,,,0.9069305610238696,1453.0
11500641,방화제3동,,ok,,,,0.9214244125616298,852.0
11530510,신도림동,,ok,,,,0.9012150762158192,734.0
11530520,구로제1동,,ok,,,,0.9384877193971224,1060.0
11530530,구로제2동,,ok,,,,0.8610359552058627,2646.0
11530550,구로제4동,,ok,,,,0.9295843610743544,1520.0
11530560,구로제5동,,ok,,,,0.8840256296621576,3098.0
11530595,가리봉동,,ok,,0.6173,196.0,0.9769058884820128,1761.0
11530720,고척제1동,,ok,,,,0.8978079593665536,894.0
11530730,고척제2동,,ok,,,,0.9517261201891232,750.0
11530740,개봉제1동,,ok,,,,0.9351243839780116,1396.0
11530750,개봉제2동,,ok,,,,0.95138591492578,689.0
11530760,개봉제3동,,ok,,,,0.9367420373078368,672.0
11530770,오류제1동,,ok,,,,0.94490352989928,2369.0
11530780,오류제2동,,ok,,,,0.8924438044256702,844.0
11530790,수궁동,,ok,,0.0,16.0,0.9115082386188348,816.0
11530800,항동,,ok,,,,0.9274839961821768,120.0
11545610,독산제1동,,ok,,,,0.9083351492296996,3625.0
11545620,독산제2동,,ok,,,,0.96644759903337,1655.0
11545630,독산제3동,,ok,,,,0.9559496279440816,2320.0
11545640,독산제4동,,ok,,,,0.9147462174586216,1454.0
11545670,시흥제1동,,ok,,,,0.8641317812131771,2173.0
11545680,시흥제2동,,ok,,,,0.9086424805067654,36.0
11545690,시흥제3동,,ok,,,,0.8839076799530151,315.0
11545700,시흥제4동,,ok,,,,0.9314129197982935,945.0
11545710,시흥제5동,,ok,,,,0.9098189373524151,737.0
11560515,영등포본동,,ok,,,,0.953916715457218,966.0
11560535,영등포동,,ok,,0.76,25.0,0.9108635783547429,5532.0
11560550,당산제1동,,ok,,0.069,29.0,0.9205892953269668,1354.0
11560560,당산제2동,,ok,,,,0.9218358148708394,3312.0
11560605,문래동,,ok,,0.4,5.0,0.881219330714425,500.0
11560610,양평제1동,,ok,,0.8,15.0,0.9253205388813042,1407.0
11560620,양평제2동,,ok,,1.0,1.0,0.907079967273175,1421.0
11560630,신길제1동,,ok,,,,0.9460310860122576,1439.0
11560650,신길제3동,,ok,,,,0.9575666411068868,736.0
11560660,신길제4동,,ok,,,,0.9735075580056484,329.0
11560670,신길제5동,,ok,,,,0.9573944894148908,485.0
11560680,신길제6동,,ok,,,,0.9576185510142108,1261.0
11560690,신길제7동,,ok,,,,0.9526502965635756,420.0
11560700,대림제1동,,ok,,,,0.9471623193922102,1366.0
11560710,대림제2동,,ok,,,,0.958613991433334,2047.0
11560720,대림제3동,,ok,,,,0.9172086694243392,2149.0
11590510,노량진제1동,,ok,,0.0,1.0,0.86286958281604,2662.0
11590520,노량진제2동,,ok,,,,0.9253243580138336,1561.0
11590530,상도제1동,,ok,,0.8352,892.0,0.9327358278557876,5046.0
11590540,상도제2동,,ok,,,,0.939074176750248,1053.0
11590550,상도제3동,,ok,,,,0.9617393171953268,1688.0
11590560,상도제4동,,ok,,,,0.9621430021778796,2373.0
11590605,흑석동,,ok,,1.0,73.0,0.8428384515246478,1633.0
11590620,사당제1동,,ok,,,,0.9512783465267602,3940.0
11590630,사당제2동,,ok,,,,0.9019802347959388,1101.0
11590640,사당제3동,,ok,,,,0.956978506824806,1137.0
11590650,사당제4동,,ok,,,,0.9669096539829444,1456.0
11590651,사당제5동,,ok,,,,0.9588328105689984,903.0
11590670,신대방제1동,,ok,,,,0.9244817104740816,1904.0
11590680,신대방제2동,,ok,,,,0.912014735644094,1620.0
11620525,보라매동,,ok,,,,0.9518170679586132,3082.0
11620545,청림동,,ok,,,,0.9686740726370446,175.0
11620565,성현동,,ok,,,,0.931522633865398,479.0
11620575,행운동,,ok,,,,0.9618042843273712,5258.0
11620585,낙성대동,,ok,,,,0.9487092049969356,3413.0
11620595,청룡동,,ok,,,,0.9334641289496312,5250.0
11620605,은천동,,ok,,,,0.9242916800869854,1682.0
11620615,중앙동,,ok,,,,0.9666293090208876,3407.0
11620625,인헌동,,ok,,,,0.9454929369388648,3791.0
11620630,남현동,,ok,,0.0,12.0,0.924680536958708,1933.0
11620645,서원동,,ok,,,,0.9607865498240992,5165.0
11620655,신원동,,ok,,,,0.9727468931282394,3033.0
11620665,서림동,,ok,,,,0.966188420315928,4455.0
11620685,신사동,,ok,,,,0.9705221252239256,2999.0
11620695,신림동,,ok,,,,0.961794350793516,3367.0
11620715,난향동,,ok,,,,0.9318331527754472,141.0
11620725,조원동,,ok,,,,0.9450359986616996,3243.0
11620735,대학동,,ok,,,,0.808387695707621,1984.0
11620745,삼성동,,ok,,,,0.9216778558799666,237.0
11620765,미성동,,ok,,,,0.933278719956523,1493.0
11620775,난곡동,,ok,,,,0.9358923092547352,1340.0
11650510,서초1동,,ok,,,,0.8692633203947437,1079.0
11650520,서초2동,,ok,,,,0.7883156701795477,1399.0
11650530,서초3동,,ok,,,,0.7264629462881708,2034.0
11650531,서초4동,,ok,,,,0.8620988035472859,458.0
11650540,잠원동,,ok,,,,0.8766691884248101,870.0
11650560,반포1동,,ok,,,,0.9017548574083732,2273.0
11650581,반포4동,,ok,,,,0.8638969314072367,308.0
11650590,방배본동,,ok,,,,0.9155749825872944,791.0
11650600,방배1동,,ok,,,,0.90290624643551,1369.0
11650610,방배2동,,ok,,,,0.9350552915002198,1031.0
11650620,방배3동,,ok,,,,0.9248940950630196,160.0
11650621,방배4동,,ok,,,,0.9087109899564072,1123.0
11650651,양재1동,,ok,,,,0.7944477873047113,1856.0
11650652,양재2동,,ok,,,,0.7494033403610654,2181.0
11650660,내곡동,,ok,,,,0.7747574049241467,581.0
11680510,신사동,,ok,,,,0.7759460600968392,744.0
11680521,논현1동,,ok,,,,0.7896747838699514,2922.0
11680531,논현2동,,ok,,,,0.8036729856482676,1536.0
11680545,압구정동,,ok,,,,0.8077241033198881,252.0
11680565,청담동,,ok,,,,0.7971554824159945,892.0
11680590,삼성2동,,ok,,,,0.8561645380321339,1370.0
11680600,대치1동,,ok,,,,0.909756169826451,37.0
11680610,대치2동,,ok,,,,0.8523435934792093,596.0
11680630,대치4동,,ok,,,,0.8368122156484598,2219.0
11680650,역삼2동,,ok,,,,0.8562906627316631,1701.0
11680655,도곡1동,,ok,,,,0.8973348057712895,589.0
11680656,도곡2동,,ok,,,,0.917162075708074,162.0
11680660,개포1동,,ok,,,,0.915909828427583,43.0
11680670,개포2동,,ok,,,,0.9200179776906492,145.0
11680675,개포3동,,ok,,,,0.944286991329591,248.0
11680690,개포4동,,ok,,,,0.9146051809004934,1116.0
11680700,세곡동,,ok,,,,0.886725351685392,2155.0
11680720,일원본동,,ok,,,,0.8847892984971112,33.0
11680730,일원1동,,ok,,,,0.9305426633072142,970.0
11680750,수서동,,ok,,,,0.8375627292194138,93.0
11710510,풍납1동,,ok,,,,0.9448065783652926,565.0
11710520,풍납2동,,ok,,,,0.7150397934053901,1161.0
11710531,거여1동,,ok,,,,0.9297764222570212,616.0
11710532,거여2동,,ok,,,,0.9204007581017908,285.0
11710540,마천1동,,ok,,,,0.9554114125377492,628.0
11710550,마천2동,,ok,,,,0.8935821893605328,752.0
11710561,방이1동,,ok,,,,0.935005217245728,559.0
11710562,방이2동,,ok,,,,0.9156812748754452,5301.0
11710570,오금동,,ok,,0.6782,87.0,0.893582058675855,1273.0
11710580,송파1동,,ok,,,,0.9353519345273106,3196.0
11710590,송파2동,,ok,,,,0.9417622596799452,524.0
11710600,석촌동,,ok,,1.0,32.0,0.9317826257522552,4819.0
11710610,삼전동,,ok,,1.0,1.0,0.9312616402271862,3989.0
11710620,가락본동,,ok,,,,0.8812717927056587,1297.0
11710632,가락2동,,ok,,,,0.934494770742964,1196.0
11710641,문정1동,,ok,,,,0.9308431273210258,1381.0
11710642,문정2동,,ok,,,,0.7741835099855967,4880.0
11710646,장지동,,ok,,,,0.9171827142672956,792.0
11710647,위례동,,ok,,,,0.9076901043163323,325.0
11710650,잠실본동,,ok,,,,0.9059143266780246,4437.0
11710680,잠실3동,,ok,,,,0.9001963818666694,71.0
11710690,잠실4동,,ok,,,,0.9348561822774762,31.0
11740515,강일동,,ok,,,,0.871055580662269,724.0
11740525,상일제1동,,ok,,,,0.8753461387340441,280.0
11740526,상일제2동,,ok,,,,0.8478894132754831,35.0
11740530,명일제1동,,ok,,,,0.9072662967160678,426.0
11740540,명일제2동,,ok,,,,0.9384903649614456,940.0
11740550,고덕제1동,,ok,,,,0.9219768440252512,381.0
11740560,고덕제2동,,ok,,,,0.8977188418375776,695.0
11740570,암사제1동,,ok,,,,0.9263520047932764,2363.0
11740580,암사제2동,,ok,,,,0.935988983936082,822.0
11740590,암사제3동,,ok,,,,0.948330978621455,151.0
11740600,천호제1동,,ok,,,,0.9430388918935376,1948.0
11740610,천호제2동,,ok,,,,0.902615746606938,3147.0
11740620,천호제3동,,ok,,,,0.9439025139391216,2735.0
11740640,성내제1동,,ok,,,,0.8676480844590323,1162.0
11740650,성내제2동,,ok,,,,0.9267609420083052,2445.0
11740660,성내제3동,,ok,,,,0.8870475095375164,1861.0
11740685,길동,,ok,,0.6417,254.0,0.8626715739151797,3444.0
11740700,둔촌제2동,,ok,,,,0.8863349128975394,929.0
11200540,마장동,,unreliable,도로명 배정 검증 정확도 0%,0.0,127.0,0.8795680891052456,2004.0
11290525,성북동,,unreliable,도로명 배정 검증 정확도 0%,0.0,66.0,0.9227054516337942,1002.0
11290810,석관동,,unreliable,도로명 배정 검증 정확도 0%,0.0,52.0,0.8867434813760697,1819.0
11380560,구산동,,unreliable,도로명 배정 검증 정확도 0%,0.0,69.0,0.921661955271791,974.0
