거주동 코드,거주동 이름,대표_편도통근시간_분,대표_편도통근거리_km,대표_편도교통비_원,월_통근시간_분,월_통근시간_시간,월_통근교통비_원,월_통근시간_기회비용_원,주요_출근목적지_목록,주요목적지_누적출근비중,거주동_전체_출근량,선택목적지_출근량합,API_경로포함률,교통비_산출포함률,내부통근비중,대표_편도도보시간_분,도보시간_산출포함률,대표_편도환승횟수,환승횟수_산출포함률,월평균_출근일수_가정,시간가치_원_시간
11530780,오류2동,33.373320323,10.124388288802,1674.5952831897152,1401.6794535660001,23.361324226100002,70333.00189396804,241088.86601335203,"오류2동, 가산동, 여의동, 구로3동, 구로5동",0.8002068516882448,1637289.03,1310169.9000000001,1.0,0.8924438044256702,0.10755619557432972,8.066552205675073,0.8924438044256702,0.8790509470523734,0.8924438044256702,21.0,10320.0
11530790,수궁동,36.7763894154,11.2111104087152,1650.354418643738,1544.6083554467998,25.743472590779998,69314.885583037,265672.6371368496,"가산동, 수궁동, 오류2동, 구로3동, 여의동",0.8002944706388082,971852.41,777768.11,1.0,0.9115082386188347,0.0884917613811654,7.670536786174826,0.9115082386188347,0.6614651409608822,0.9115082386188347,21.0,10320.0
11530800,항동,38.297641573,12.34882663974,1795.6342735224082,1608.500946066,26.808349101100003,75416.63948794114,276662.162723352,"가산동, 항동, 여의동, 오류2동, 구로3동",0.8030159812751277,475299.37,381672.99,1.0,0.9274839961821769,0.07251600381782322,7.801456243973413,0.9274839961821769,1.4220405373888871,0.9274839961821769,21.0,10320.0
11545510,가산동,23.802716140999998,4.9339922569776,1545.2100908423706,999.7140779219999,16.6619012987,64898.82381537957,171950.82140258397,"가산동, 구로3동, 독산1동, 여의동, 조원동",0.8018077608548513,2053987.39,1646903.03,1.0,0.5458862444378404,0.45411375556215955,8.059553272491353,0.5458862444378404,0.5556977952036307,0.5458862444378404,21.0,10320.0
11545610,독산1동,23.6669942795,6.1388912725875,1565.966385116031,994.013759739,16.56689599565,65770.58817487331,170970.366675108,"가산동, 독산1동, 구로3동, 여의동, 시흥1동",0.8026317525945864,2718760.88,2182163.81,1.0,0.9083351492296997,0.09166485077030033,7.556511849321517,0.9083351492296997,0.3888706473347563,0.9083351492296997,21.0,10320.0
11545620,독산2동,26.21441312,6.118089278324,1492.9912221106579,1101.00535104,18.350089184,62705.63132864763,189372.92037888002,"가산동, 독산1동, 시흥1동, 구로3동, 독산4동",0.8031317389161862,649042.61,521266.72000000003,1.0,0.9664475990333701,0.033552400966629904,7.2565977333545835,0.9664475990333701,0.2737537169501349,0.9664475990333701,21.0,10320.0
11545630,독산3동,26.30758415,6.6252116982984,1554.793378801491,1104.9185343,18.415308905,65301.32190966262,190045.9878996,"가산동, 구로3동, 독산1동, 여의동, 독산3동",0.8006698173908955,900370.77,720899.7,1.0,0.9559496279440817,0.04405037205591846,7.740010949740561,0.9559496279440817,0.32831085789785214,0.9559496279440817,21.0,10320.0
11545640,독산4동,22.2460038644,5.2171418722576,1500.1115391278013,934.3321623047999,15.572202705079999,63004.684643367655,160705.1319164256,"가산동, 독산1동, 구로3동, 독산4동, 여의동",0.8003021601220237,682982.25,546592.17,1.0,0.9147462174586217,0.08525378254137815,6.14872044516476,0.9147462174586217,0.28983337958659705,0.9147462174586217,21.0,10320.0
11545670,시흥1동,28.2311426298,7.0501285209418,1570.0808712300802,1185.7079904516,19.76179984086,65943.39659166338,203941.7743576752,"가산동, 시흥1동, 독산1동, 구로3동, 여의동",0.8001720782545152,1369167.77,1095569.82,1.0,0.8641317812131771,0.13586821878682273,8.237636045511485,0.8641317812131771,0.3973212048745621,0.8641317812131771,21.0,10320.0
11545680,시흥2동,32.7297043194,8.0198350839824,1489.607487864754,1374.6475814148,22.910793023580002,62563.51449031966,236439.38400334562,"가산동, 시흥2동, 시흥1동, 시흥5동, 독산1동",0.8017227919677516,823535.3,660247.02,1.0,0.9086424805067654,0.0913575194932345,7.4290705911086174,0.9086424805067654,0.7896097043580881,0.9086424805067654,21.0,10320.0
