근무동코드,분석후보수,중앙값_10만원절감당_통근시간증가_분,평균_10만원절감당_통근시간증가_분,중앙값_10만원절감당_월교통비증가_원,중앙값_10만원절감당_시간비용증가_원,중앙값_실질순절감액_원,월세착시비율
1129059000,2,1.0515325723513764,1.0515325723513764,9553.389558878405,7596.27130266633,132451.0038495432,0.0
1129060000,10,0.1484884449285911,0.11659464659103058,1961.280319688114,1072.680526164172,114223.82959320676,0.0
1129061000,8,16.625107970353824,14.529282797279286,0.0,120099.77997783603,-22494.035026378122,0.625
1129062000,1,-4.458920775164373,-4.458920775164373,0.0,-32211.243679787432,160115.1381400208,0.0
1129063000,1,1.7020916149395056,1.7020916149395056,0.0,12295.90982632299,123665.38591067898,0.0
1129064000,1,-9.34436912591856,-9.34436912591856,0.0,-67503.72256563567,234825.77967981607,0.0
1129065000,1,-9.344369125918561,-9.344369125918561,0.0,-67503.72256563569,234825.7796798161,0.0
1129066000,5,15.02275867041091,15.57451588650338,0.0,108524.4086350484,-12256.55224560757,0.6
1129068500,2,7.533281898810404,7.533281898810404,5042.45681199396,54420.42843700638,48455.51749544116,0.5
1129070500,10,10.987134636247786,9.066325424550664,-1690.9969644971484,79371.06061225402,27201.06291399528,0.4
1129071500,1,-12.128540077333064,-12.128540077333064,0.0,-87616.57351865406,249051.14831549727,0.0
1129072500,3,15.575016233342534,8.738818888483879,-1595.262037252412,112513.91726966646,-14853.025950926793,0.6666666666666666
1129077000,1,-4.623081592317761,-4.623081592317761,0.0,-33397.14142290351,144272.96897006035,0.0
1129081000,3,9.159742253986032,10.653711455747546,0.0,66169.97804279509,35825.37629179322,0.3333333333333333
1130553500,2,-4.3395053644548955,-4.3395053644548955,839.6304932305482,-31348.58675282218,164931.3896802643,0.0
1130554500,4,-1.1349624974234296,-1.385961198940005,661.3091456448753,-8198.969081386873,133316.47593278356,0.0
1130555500,4,9.618688641192382,8.16649216276307,0.0,69485.40674397376,41202.604727177735,0.25
1130557500,1,19.76963226289696,19.76963226289696,0.0,142815.82346716762,-53493.703149138455,1.0
1130559500,4,0.8902356579805016,1.099020842789853,666.675987502316,6431.062393251153,124322.18794983986,0.0
1130560800,1,17.794107167030347,17.794107167030347,0.0,128544.63017462727,-38018.63891165765,1.0
1130561500,3,5.785798124645574,5.7727218734788,1576.6930401166128,41796.60565243965,60270.14102129254,0.0
1130562500,1,4.914508047753126,4.914508047753126,12384.560280337877,35502.406136968566,53019.583116278765,0.0
1130563500,3,-6.68917131692447,-5.299237801035689,0.0,-48322.57359346235,164084.1581997734,0.0
1130564500,1,6.978601427809439,6.978601427809439,0.0,50413.41671449538,50449.18311627876,0.0
1130566000,2,-3.8682341779718117,-3.8682341779718117,0.0,-27944.123701668384,141132.94832548074,0.0
1132051100,2,3.0257510100232143,3.0257510100232143,0.0,21858.02529640769,92472.93041023792,0.0
1132051200,2,-0.32137120286415044,-0.32137120286415044,-6596.488092635591,-2321.5855694905986,142270.72752896606,0.0
1132051300,1,4.775097428016212,4.775097428016212,-11352.11841377439,34495.30381998912,85305.29973213334,0.0
1132051400,3,-4.665826873509211,-3.5887032595323167,0.0,-33705.93333423055,144494.59798336483,0.0
1132051500,2,-0.6081300556311571,-0.6081300556311571,2365.039560174919,-4393.131521879499,118941.33041023792,0.0
1132052100,2,11.520650802705294,11.520650802705294,2084.902106452321,83225.18139874304,16196.599713789248,0.5
1132052200,2,-0.2702800247249575,-0.2702800247249575,788.3465200583064,-1952.50289861308,121041.33041023786,0.0
1132066000,2,-3.4720625565028884,-3.4720625565028884,-4777.966263051131,-25082.179908176873,154385.33431477292,0.0
1132067000,2,-3.1848814693742855,-3.1848814693742855,619.3352046929353,-23007.583734759857,147264.54758871876,0.0
1132068000,2,7.140169605780419,7.140169605780419,788.3465200583064,51580.585232157755,51690.93041023788,0.5
1132068100,2,11.123928889416543,11.123928889416543,4154.190943008015,80359.26229714512,13977.386566439396,0.5
1132069000,2,0.9746129499890532,0.9746129499890532,625.7495704023004,7040.603950720917,106283.91291335669,0.0
1132070000,1,-8.64923307716144,-8.64923307716144,0.0,-62482.059749414235,180342.89973213334,0.0
1132071000,1,-5.111088369663252,-5.111088369663252,0.0,-36922.50238244732,139304.38311627874,0.0
1135056000,1,19.01883746851671,19.01883746851671,0.0,137392.0818725647,-46988.71622588165,1.0
1135057000,2,23.526609087549364,23.526609087549364,-12015.880671456995,169956.2240484566,-70552.15007043234,1.0
1135058000,2,17.2723070328477,17.2723070328477,1014.8141367504747,124775.14600529177,-33131.14690398614,0.5
1135059500,4,11.12802783951325,11.283899141071123,0.0,80388.87311264372,22407.2380634523,0.0
1135060000,4,17.014461396521376,16.896886368816556,0.0,122912.4691284704,-24413.497304647717,0.5
1135061100,2,8.069241160717636,8.069241160717636,0.0,58292.198145024224,50577.836938854554,0.0
1135061900,1,-6.200208615631973,-6.200208615631973,0.0,-44790.30703932541,184484.66761695917,0.0
1135062100,2,-0.016872693296075436,-0.016872693296075436,0.0,-121.88833637083371,118978.81379438327,0.0
1135062400,1,-5.494230391705111,-5.494230391705111,46775.20468613812,-39690.32034967771,125144.34359146119,0.0
1135062500,2,4.223622574464607,4.223622574464607,0.0,30511.449477932332,88551.51291335667,0.0
1135063000,2,4.086292768029429,4.086292768029429,2305.02796105001,29519.378956244596,83399.34758871872,0.0
1135064000,3,-6.937405697306571,-7.640060393816303,1959.7058164122095,-50115.81875734263,166617.2997321333,0.0
