행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1171062000,서울특별시,송파구,가락본동,3,2023,2025,34318.0,5850,17.05,일반
1171053100,서울특별시,송파구,거여1동,3,2023,2025,16614.0,2059,12.39,일반
1171053200,서울특별시,송파구,거여2동,3,2023,2025,29937.0,1960,6.55,일반
1171054000,서울특별시,송파구,마천1동,3,2023,2025,23345.0,1818,7.79,일반
1171055000,서울특별시,송파구,마천2동,3,2023,2025,25085.0,1901,7.58,일반
1171064100,서울특별시,송파구,문정1동,3,2023,2025,26145.0,5471,20.93,일반
1171064200,서울특별시,송파구,문정2동,3,2023,2025,47168.0,18190,38.56,일반
1171056100,서울특별시,송파구,방이1동,3,2023,2025,18282.0,2584,14.13,일반
1171056200,서울특별시,송파구,방이2동,3,2023,2025,47045.0,19125,40.65,일반
1171061000,서울특별시,송파구,삼전동,3,2023,2025,47816.0,14698,30.74,일반
1171060000,서울특별시,송파구,석촌동,3,2023,2025,50772.0,15652,30.83,일반
1171058000,서울특별시,송파구,송파1동,3,2023,2025,37058.0,12291,33.17,일반
1171059000,서울특별시,송파구,송파2동,3,2023,2025,21718.0,2371,10.92,일반
1171057000,서울특별시,송파구,오금동,3,2023,2025,47047.0,4263,9.06,일반
1171056600,서울특별시,송파구,오륜동,3,2023,2025,17408.0,378,2.17,주의
1171064700,서울특별시,송파구,위례동,3,2023,2025,44479.0,2105,4.73,일반
1171067000,서울특별시,송파구,잠실2동,3,2023,2025,34277.0,1176,3.43,일반
1171068000,서울특별시,송파구,잠실3동,3,2023,2025,35030.0,999,2.85,일반
1171069000,서울특별시,송파구,잠실4동,3,2023,2025,21480.0,626,2.91,주의
1171071000,서울특별시,송파구,잠실6동,3,2023,2025,17194.0,666,3.87,주의
1171072000,서울특별시,송파구,잠실7동,3,2023,2025,9939.0,231,2.32,주의
1171065000,서울특별시,송파구,잠실본동,3,2023,2025,47806.0,16933,35.42,일반
1171064600,서울특별시,송파구,장지동,3,2023,2025,37932.0,4004,10.56,일반
1171051000,서울특별시,송파구,풍납1동,3,2023,2025,15938.0,1499,9.41,일반
1171052000,서울특별시,송파구,풍납2동,3,2023,2025,31062.0,5765,18.56,일반
