행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1165051000,서울특별시,서초구,서초1동,3,2023,2025,28043.0,6082,21.69,일반
1165052000,서울특별시,서초구,서초2동,3,2023,2025,33631.0,9684,28.79,일반
1165053000,서울특별시,서초구,서초3동,3,2023,2025,45676.0,12807,28.04,일반
1165053100,서울특별시,서초구,서초4동,3,2023,2025,31440.0,2601,8.27,일반
1165065100,서울특별시,서초구,양재1동,3,2023,2025,52413.0,6827,13.03,일반
1165065200,서울특별시,서초구,양재2동,3,2023,2025,32511.0,8476,26.07,일반
1165054000,서울특별시,서초구,잠원동,3,2023,2025,34361.0,4263,12.41,일반
1120059000,서울특별시,성동구,금호1가동,3,2023,2025,19100.0,1688,8.84,일반
1120061500,서울특별시,성동구,금호2.3가동,3,2023,2025,28518.0,3224,11.31,일반
1120062000,서울특별시,성동구,금호4가동,3,2023,2025,18872.0,1874,9.93,일반
1120054000,서울특별시,성동구,마장동,3,2023,2025,32403.0,8601,26.54,일반
1120055000,서울특별시,성동구,사근동,3,2023,2025,24483.0,14665,59.9,일반
1120065000,서울특별시,성동구,성수1가제1동,3,2023,2025,21856.0,4175,19.1,일반
1120066000,서울특별시,성동구,성수1가제2동,3,2023,2025,18189.0,4262,23.43,일반
1120067000,서울특별시,성동구,성수2가제1동,3,2023,2025,22118.0,3896,17.61,일반
1120069000,서울특별시,성동구,성수2가제3동,3,2023,2025,14970.0,4173,27.88,일반
1120072000,서울특별시,성동구,송정동,3,2023,2025,15458.0,3475,22.48,일반
1120064500,서울특별시,성동구,옥수동,3,2023,2025,31624.0,2552,8.07,일반
1120053500,서울특별시,성동구,왕십리도선동,3,2023,2025,36035.0,7500,20.81,일반
1120052000,서울특별시,성동구,왕십리제2동,3,2023,2025,21908.0,3613,16.49,일반
1120079000,서울특별시,성동구,용답동,3,2023,2025,23422.0,8617,36.79,일반
1120058000,서울특별시,성동구,응봉동,3,2023,2025,17569.0,1275,7.26,일반
1120056000,서울특별시,성동구,행당제1동,3,2023,2025,19926.0,4305,21.6,일반
1120057000,서울특별시,성동구,행당제2동,3,2023,2025,27303.0,1634,5.98,일반
1129066000,서울특별시,성북구,길음제1동,3,2023,2025,37835.0,1462,3.86,일반
1129068500,서울특별시,성북구,길음제2동,3,2023,2025,25508.0,2122,8.32,일반
1129058000,서울특별시,성북구,돈암제1동,3,2023,2025,17864.0,1337,7.48,일반
1129059000,서울특별시,성북구,돈암제2동,3,2023,2025,25287.0,1128,4.46,일반
1129057500,서울특별시,성북구,동선동,3,2023,2025,28764.0,13839,48.11,일반
1129061000,서울특별시,성북구,보문동,3,2023,2025,24131.0,5354,22.19,일반
1129055500,서울특별시,성북구,삼선동,3,2023,2025,33911.0,9004,26.55,일반
1129081000,서울특별시,성북구,석관동,3,2023,2025,49260.0,7786,15.81,일반
1129052500,서울특별시,성북구,성북동,3,2023,2025,23882.0,5765,24.14,일반
1129060000,서울특별시,성북구,안암동,3,2023,2025,29980.0,16068,53.6,일반
1129071500,서울특별시,성북구,월곡제1동,3,2023,2025,31830.0,2637,8.28,일반
1129072500,서울특별시,성북구,월곡제2동,3,2023,2025,28516.0,7587,26.61,일반
1129076000,서울특별시,성북구,장위제1동,3,2023,2025,31474.0,3418,10.86,일반
1129077000,서울특별시,성북구,장위제2동,3,2023,2025,20661.0,2882,13.95,일반
1129078000,서울특별시,성북구,장위제3동,3,2023,2025,20265.0,2457,12.12,일반
1129062000,서울특별시,성북구,정릉제1동,3,2023,2025,21784.0,2360,10.83,일반
1129063000,서울특별시,성북구,정릉제2동,3,2023,2025,28952.0,3385,11.69,일반
1129064000,서울특별시,성북구,정릉제3동,3,2023,2025,23817.0,8097,34.0,일반
1129065000,서울특별시,성북구,정릉제4동,3,2023,2025,31878.0,3345,10.49,일반
1129070500,서울특별시,성북구,종암동,3,2023,2025,50726.0,8449,16.66,일반
1171063100,서울특별시,송파구,가락1동,3,2023,2025,29039.0,1587,5.47,일반
1171063200,서울특별시,송파구,가락2동,3,2023,2025,36190.0,4820,13.32,일반
